,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00000001,830,681,688,470,741,901,1150,668,823,829,624,0,1399,1346,1144,1562,977,954,232,1214,2875,2340
WBGene00000002,609,649,501,237,481,681,555,617,528,779,226,1,471,764,388,114,407,12,133,837,162,0
WBGene00000003,723,595,249,202,398,1088,759,312,557,349,91,131,960,455,442,516,782,121,158,872,723,536
WBGene00000004,561,513,453,331,712,565,454,341,390,395,234,0,221,146,237,370,1231,489,539,1230,469,2
WBGene00000005,403,330,313,130,166,471,387,403,436,547,204,0,356,82,130,51,270,319,260,306,679,111
WBGene00000006,620,627,708,392,1093,542,492,516,374,315,299,2,691,1349,991,1627,2645,632,605,2938,1996,568
WBGene00000007,777,741,286,100,155,853,659,582,657,614,359,0,448,26,76,36,264,51,5,654,384,486
WBGene00000008,74,96,44,13,26,80,57,34,46,31,26,0,61,155,0,0,16,50,0,74,30,65
WBGene00000009,84,78,34,25,25,111,79,41,65,76,23,0,79,14,1,74,47,0,0,40,42,4
WBGene00000010,811,611,716,455,681,907,941,580,785,851,293,0,864,92,421,168,905,250,278,980,1402,30
WBGene00000012,8,3,0,2,7,4,8,2,19,2,10,0,100,204,98,113,44,78,7,52,49,1
WBGene00000013,41,40,30,13,39,28,29,23,46,78,39,0,81,104,45,102,135,16,44,79,65,0
WBGene00000014,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,44,19,0
WBGene00000015,10,6,4,6,6,7,6,11,7,9,2,0,292,28,0,55,52,59,0,99,19,743
WBGene00000016,369,432,64,16,72,255,206,161,287,166,116,0,2276,5277,2901,3024,2364,1479,135,1257,455,0
WBGene00000017,418,405,53,26,62,364,296,56,391,214,41,0,303,1618,2046,1634,801,2299,163,497,212,1437
WBGene00000018,1403,1369,1030,718,1116,1194,1292,673,884,997,367,24,848,4760,2468,2004,2483,1016,772,1839,2201,654
WBGene00000019,192,114,171,108,115,412,386,64,176,214,50,0,353,0,0,136,922,399,396,689,627,3
WBGene00000020,1452,1295,837,549,861,1173,1362,726,768,861,271,0,618,723,2356,944,2896,1045,1470,2520,2119,30
WBGene00000021,21,20,46,21,36,32,34,25,7,21,8,0,43,13,0,0,138,16,6,73,76,2
WBGene00000022,3685,3592,3072,1929,2778,3224,3573,2601,2286,2303,997,0,2671,64,332,122,1022,187,424,2528,1956,2588
WBGene00000023,297,236,326,189,234,484,534,184,233,338,111,0,425,0,5,0,1132,3,958,1128,489,1
WBGene00000024,527,510,644,165,281,496,607,209,240,276,518,1,555,80,77,196,196,22,82,90,648,2
WBGene00000025,12,10,3,0,1,27,45,0,9,22,0,0,1,0,0,0,0,1,1,0,15,2
WBGene00000026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
WBGene00000027,74,44,132,14,22,87,124,62,46,62,64,0,66,0,0,0,4,0,66,0,49,2
WBGene00000028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0
WBGene00000029,827,930,1386,330,564,641,715,430,376,386,666,5,637,196,136,277,534,90,0,377,501,0
WBGene00000030,837,829,1323,254,587,643,761,380,364,379,475,6269,1870,501,304,266,1147,372,0,1801,1410,92
WBGene00000031,2436,2170,3752,997,1975,1506,1857,1049,971,976,1479,0,6739,2442,1735,1741,4573,1417,1009,4832,5486,114
WBGene00000032,1,2,0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,1,0,0,0,0
WBGene00000033,1074,1138,1207,272,644,961,1172,375,548,604,655,0,2612,2316,367,679,3036,682,0,1360,2157,2
WBGene00000034,1739,1576,2735,513,1024,1434,1879,770,948,1242,1265,0,1633,345,161,470,1344,0,124,1153,1451,4
WBGene00000035,342,331,345,135,375,308,271,253,201,178,108,0,195,685,995,708,605,13,12,699,443,79
WBGene00000036,1085,1041,678,351,867,859,780,520,658,675,233,1,54,400,725,682,290,161,423,441,629,704
WBGene00000037,234,252,142,69,153,188,192,96,137,120,50,212,190,713,377,160,727,158,319,1114,343,19
WBGene00000038,147,120,15,5,17,75,78,7,55,24,9,0,52,162,34,0,41,95,210,221,38,0
WBGene00000039,8982,7069,8867,6510,10908,7812,8028,6264,7317,11561,1897,10193,5375,1613,276,346,2053,65,174,1902,646,1431
WBGene00000040,16555,14220,16382,9621,10844,14864,15049,22395,13296,15131,12010,8698,11959,3479,2684,1532,5515,736,856,8511,4428,7184
WBGene00000041,34851,32210,36742,19517,31540,31191,33805,38802,26801,31821,29072,19797,11015,5684,5493,5965,15757,2896,4090,14567,8734,8177
WBGene00000042,95,99,74,58,104,95,77,63,64,77,51,33898,1251,10199,5059,1742,5492,3546,7207,21585,7645,11713
WBGene00000043,41,45,33,15,25,47,40,29,25,38,13,0,229,80,77,52,738,306,388,971,364,718
WBGene00000044,51,40,45,28,75,43,41,51,26,18,36,0,77,57,455,305,332,826,571,199,726,106
WBGene00000045,9,8,6,3,12,10,10,6,0,4,8,0,0,0,0,206,204,0,154,478,182,3
WBGene00000046,50,46,23,19,20,51,32,18,38,28,10,1,46,663,118,125,107,63,112,62,101,18
WBGene00000047,299,252,274,121,264,247,183,226,195,180,137,4,640,82,139,347,419,134,175,463,252,2
WBGene00000048,49,44,30,15,35,31,43,19,27,27,9,10737,471,8966,16533,9482,6149,15632,4869,10282,3001,8772
WBGene00000049,25,19,7,5,8,17,19,5,14,20,7,1,101,0,159,0,107,162,49,134,74,68
WBGene00000050,65,70,23,17,22,91,67,39,44,52,16,0,310,514,176,218,154,0,1,449,148,6
WBGene00000051,94,135,120,54,124,127,115,91,83,77,48,1,288,9524,8371,4948,4792,5561,5537,12469,8192,3552
WBGene00000053,20,11,30,7,18,13,10,17,8,15,3,13496,245,10912,11049,7440,3718,10503,6838,7258,4628,4662
WBGene00000054,197,168,210,86,155,151,134,216,147,146,131,0,863,2801,4374,2732,3213,4347,2611,3031,3030,577
WBGene00000055,202,150,198,77,183,220,166,165,192,146,75,2,360,1934,3748,2176,1758,4779,1516,1250,1036,123
WBGene00000056,18,32,28,16,44,19,26,18,33,9,24,0,6,19,48,1,210,6,169,1641,600,3
WBGene00000057,60,61,81,43,60,63,76,47,72,66,28,0,157,1065,865,741,365,803,614,752,688,435
WBGene00000058,52,43,32,24,35,50,32,28,28,24,15,10179,81,459,211,232,114,0,90,1503,443,0
WBGene00000059,79,66,67,35,81,65,65,33,39,39,33,0,93,628,554,78,258,841,665,525,1007,0
WBGene00000060,57,43,48,19,65,52,41,34,37,41,34,0,8,265,174,114,151,212,37,94,483,0
WBGene00000061,67,72,32,4,22,41,41,20,30,28,22,0,250,0,0,0,122,85,0,77,44,0
WBGene00000062,54,48,63,53,114,58,49,41,38,39,27,0,13,198,93,7,120,1,0,154,174,0
WBGene00000063,13632,13914,13056,8471,16861,12553,13624,11801,16284,16830,20153,4601,10163,5253,1577,1567,13897,919,1731,11896,9277,7979
WBGene00000064,20576,16186,19682,15960,21346,21689,26920,18131,25791,35590,34694,24149,15178,7963,7675,6711,18203,3970,6959,19869,33093,2261
WBGene00000065,12646,12782,11553,7949,14328,13365,12359,11524,14828,14177,22177,18273,18670,12130,3962,3765,16169,2399,3792,12521,14852,13085
WBGene00000066,89261,80075,100275,61811,132333,82412,93779,100188,74163,102930,139119,1345562,1353990,1179232,1096542,760047,1708211,749981,765387,1617992,1109112,1038553
WBGene00000067,64895,55270,56088,26924,26719,48559,54862,77841,51607,60629,56794,21381,32193,5198,4665,3170,12537,659,2473,22376,11312,11512
WBGene00000068,720,674,501,346,724,708,657,357,505,371,209,28977,1282,9512,12435,6584,9637,9144,5469,16635,12346,1516
WBGene00000069,96,97,52,48,80,78,89,56,76,47,31,0,156,1208,163,0,831,51,407,1284,353,0
WBGene00000070,1414,1246,1295,786,1323,1232,1084,1011,826,931,486,1,1473,1037,1419,574,2089,507,381,2019,978,914
WBGene00000071,315,295,210,70,140,358,371,262,251,171,83,0,166,167,90,14,186,32,310,1396,803,8
WBGene00000072,566,535,507,354,358,482,519,509,413,375,262,2,439,2081,3635,3337,3610,2220,3143,4946,4885,4834
WBGene00000073,522,517,407,389,663,611,552,688,428,315,621,0,4062,3864,1985,1992,1462,659,1489,1774,1368,2244
WBGene00000074,1000,814,776,698,1083,785,851,548,513,751,321,0,484,601,982,952,952,871,624,1057,1403,20
WBGene00000075,550,486,384,255,313,497,503,355,386,480,162,0,338,95,122,479,193,537,321,288,263,1
WBGene00000079,1797,1418,1791,1096,1522,1842,2009,1615,1736,1828,739,4,747,2502,2218,2270,3610,1213,1503,2923,2547,1540
WBGene00000080,1228,1127,1257,599,853,1415,1598,1380,1471,1245,1183,0,1948,593,721,442,1486,399,362,2452,2335,332
WBGene00000081,12877,11221,11545,3784,4814,9674,10950,16441,9942,12519,10830,6364,6368,1851,2015,1842,4913,435,868,6522,4433,1437
WBGene00000082,1038,807,757,657,776,1063,1253,291,560,941,55,0,103,86,460,211,270,269,851,584,547,1323
WBGene00000083,3262,3161,2259,2099,3032,3309,3162,2105,2432,2730,623,0,2994,1150,1042,581,1864,305,326,1620,1728,911
WBGene00000084,238,245,187,82,149,327,207,254,139,105,129,0,946,22,138,44,158,104,64,352,622,1401
WBGene00000085,33,33,27,12,44,31,36,24,17,29,35,2,40,74,270,41,460,56,58,492,411,0
WBGene00000086,688,636,463,284,630,556,621,480,409,443,302,15938,301,3313,2597,1861,3203,1896,1875,4171,4775,1408
WBGene00000088,2579,2655,2045,1237,3006,2235,2028,2364,1680,1528,1180,32721,12563,15656,28873,14621,5677,40666,26331,7077,24154,11497
WBGene00000089,334,327,348,153,270,295,255,355,304,233,361,3762,306,1975,988,1090,848,410,551,1119,783,924
WBGene00000090,1206,1040,909,581,1006,1303,1640,805,932,1090,475,21,2392,1514,652,872,2227,663,778,1552,4963,2249
WBGene00000092,683,603,739,361,781,573,644,720,539,592,589,205946,5240,77588,317367,163462,96373,171642,167710,123920,140300,17736
WBGene00000093,641,667,550,325,388,656,674,854,732,744,1215,0,703,846,224,185,583,302,98,761,494,728
WBGene00000094,188,183,180,160,187,226,306,204,223,155,236,0,1481,4370,4676,3326,2656,3632,2266,2508,7301,1680
WBGene00000095,1492,1454,1521,1048,1500,1334,1244,1920,1119,923,1160,4657,1780,1666,1812,1098,1754,1279,853,2684,1592,1301
WBGene00000096,23,28,16,41,65,19,23,12,9,11,17,0,2,187,1,103,228,12,2,51,107,1
WBGene00000097,779,483,803,492,697,591,755,704,744,684,1110,9102,3740,13901,15575,12048,5873,9113,6002,6534,5869,5924
WBGene00000098,3172,2624,3306,1737,1993,2587,3228,2045,2733,3047,1981,1,4797,278,350,644,2160,142,626,2313,6694,4
WBGene00000099,639,565,640,269,431,738,1097,644,811,962,838,3,970,182,112,0,898,14,572,561,2009,150
WBGene00000100,7075,6274,4990,4452,7795,6372,7437,3489,5112,7416,1948,3799,8601,1888,1644,1065,2952,1005,1574,2284,3260,3396
WBGene00000101,2645,2266,1905,1290,1989,3569,3982,1656,2502,2360,760,1877,1910,1519,2192,2048,3843,772,1841,2977,13628,1384
WBGene00000102,2598,2450,1923,1270,2639,2943,3349,1882,2318,2720,1207,129,2121,3498,1725,3540,4182,2647,2430,3308,8580,1254
WBGene00000103,891,848,557,462,800,610,723,635,550,497,525,0,362,236,281,543,556,1082,329,1019,871,206
WBGene00000105,3902,3598,1983,1779,2805,3899,3959,1522,2788,3923,628,1,597,1450,2051,1093,1156,946,503,1870,2150,4240
WBGene00000106,1932,1819,1549,1024,1795,1666,1913,1373,1200,1670,849,15998,2613,2352,4214,1878,3032,2405,1931,4010,3545,1540
WBGene00000107,11946,12221,12995,7059,12808,9869,9929,18233,9139,11404,20046,3056,8449,10227,4883,4194,8791,1470,3013,8306,7575,4706
WBGene00000108,2,2,0,0,6,0,0,0,0,0,2,0,13,1335,0,0,4,0,11,2,0,0
WBGene00000109,5588,5397,5262,3765,6185,4976,5004,6527,4796,5588,5533,1,3413,4771,3058,2709,3055,408,1345,2513,3357,885
WBGene00000110,4985,4855,4858,3215,4041,5023,5432,5577,4262,4480,4457,8165,3838,7007,4317,3605,4951,2174,3061,5690,5708,2537
WBGene00000111,1344,1481,766,508,685,1256,1136,1311,1010,1221,1030,1004,525,607,454,313,538,135,0,697,272,77
WBGene00000112,4438,3879,5526,3911,4803,3886,4553,6536,3696,4332,9175,1390,4852,2056,1904,1420,4270,956,1963,4168,4985,3784
WBGene00000113,2029,2024,2041,1069,1932,1878,1907,2354,1407,2020,1493,0,1380,196,437,326,1511,155,160,1184,625,3
WBGene00000114,46287,38345,64426,43461,53089,35294,42834,79503,37173,52008,70909,19519,51240,15284,16225,12238,45488,6245,11626,59625,35083,27636
WBGene00000115,6137,5383,5496,6920,6388,6204,6270,9392,6032,5185,12748,1112,6809,3328,2449,1952,2853,153,809,3221,4477,1464
WBGene00000116,1062,825,852,842,946,1066,892,1604,888,748,1594,9270,5986,8008,2595,1347,2839,685,613,6719,2112,1564
WBGene00000117,1857,1724,1743,1157,1423,1673,1921,2341,1444,1633,1956,2,1739,1854,2358,1818,2683,1039,1737,2012,3663,1030
WBGene00000118,4366,4190,5008,2292,3769,4429,4244,6713,3644,4306,4182,4318,3302,1175,980,568,2333,186,480,2121,1127,2350
WBGene00000120,1151,1082,1137,725,943,902,934,1635,1017,1080,2122,0,389,1553,1087,1256,961,650,575,964,702,385
WBGene00000121,2682,2187,2507,1433,1675,2874,3358,3261,3657,4093,5684,0,1397,654,583,270,1346,126,427,1087,2563,846
WBGene00000122,5224,4426,4638,2905,3572,4993,5621,5758,5316,6258,9403,5909,2582,1899,1585,1599,2360,439,1332,2805,4135,307
WBGene00000123,6471,5604,3560,2558,3898,5647,6902,3495,4067,5917,2501,36177,9987,5547,10637,7691,20113,3687,6078,14833,15260,5113
WBGene00000133,135,91,25,38,28,102,123,51,117,59,8,0,28,72,59,0,0,7,52,0,69,0
WBGene00000134,22,25,72,9,22,32,31,76,16,22,42,0,2,217,256,139,527,7,451,542,346,1
WBGene00000135,101,91,77,33,87,101,69,32,59,66,39,0,118,326,449,266,479,268,451,579,643,2
WBGene00000136,2180,2018,2679,1284,1781,1874,1702,3602,1723,1729,1894,29,2354,327,1018,971,2299,414,491,3052,1514,726
WBGene00000137,362,342,258,213,337,324,296,314,313,267,239,0,384,332,833,37,322,164,223,318,526,0
WBGene00000138,1097,963,859,538,744,1239,1204,551,908,780,295,0,408,547,660,235,994,1168,1012,401,1277,94
WBGene00000139,138,160,164,53,61,200,151,256,135,105,188,0,1115,1004,1213,413,349,673,334,634,705,273
WBGene00000140,4904,4123,5577,2611,3990,3613,4783,5156,2524,2197,3096,32693,4779,6158,9045,5745,10511,5036,5525,11750,12771,2647
WBGene00000142,2134,1756,1950,1108,1356,2503,2430,2983,2515,2132,2733,5944,2394,1062,1191,662,976,443,1338,918,2468,903
WBGene00000143,813,716,735,403,522,1040,1146,1005,993,829,864,0,3071,554,2853,2164,4171,1896,2819,4655,11370,1608
WBGene00000144,371,283,365,188,223,467,563,628,529,522,779,8570,15044,337,191,375,4671,205,2693,5219,8738,3250
WBGene00000145,392,379,420,173,239,398,476,605,522,327,488,1010,282,801,339,359,355,307,198,539,761,616
WBGene00000146,3006,2765,2360,1813,3139,3348,3595,1925,2211,2296,1032,10610,3816,1959,1833,2287,3832,1590,1478,4000,6242,1906
WBGene00000147,335,283,335,197,278,404,391,390,364,308,242,304,800,1425,1463,1015,1036,837,783,793,1809,933
WBGene00000148,922,782,916,460,646,1145,986,960,748,639,396,6682,900,1859,2807,2052,2084,1432,1019,2184,2879,1046
WBGene00000149,13505,12409,9313,5855,10061,11693,12314,7440,10034,13231,2125,21562,7348,11137,16776,13123,22341,8105,9060,29763,23132,952
WBGene00000150,2529,2318,1888,1279,2063,2430,2350,1713,2413,2924,1425,0,2380,434,574,195,798,339,391,727,634,164
WBGene00000151,986,858,1100,595,687,963,1356,1612,1083,896,1196,5251,852,226,571,540,990,146,282,874,2603,592
WBGene00000155,4617,3957,5531,2595,3116,4892,5405,7098,4639,5683,4546,11041,3039,2014,898,1550,3495,308,1876,4723,5487,1901
WBGene00000156,1419,1241,1050,756,1012,1616,1776,1021,984,958,473,3,1264,1392,1649,1208,3111,1651,1008,1605,7976,1004
WBGene00000157,936,838,864,675,797,754,788,1423,1042,1049,1729,0,390,806,758,694,678,531,278,1558,574,389
WBGene00000158,3322,2929,2627,1875,2964,3549,3617,2654,3094,3457,1862,16301,2940,2183,1539,882,2785,1221,2277,3639,5237,485
WBGene00000159,1533,1397,1560,917,1138,1664,1571,2493,1496,1577,1806,3667,965,409,504,557,670,267,123,766,769,779
WBGene00000160,3967,3276,3476,2768,4172,4027,4101,3462,3358,4360,2386,16491,4297,7125,5014,4798,6887,3185,2810,7627,9502,1790
WBGene00000161,2699,2307,2098,1630,2461,2440,2145,2244,1782,2324,1436,3,1400,3825,4648,3004,5004,3362,3774,5329,5933,2442
WBGene00000162,1598,1348,1046,888,1335,1312,1664,900,1076,1218,565,23342,2209,5672,4447,3394,3120,2313,3518,3650,6749,1840
WBGene00000163,2001,1788,1794,1202,2058,2050,2175,1905,1475,1310,1106,0,1595,3443,3791,1867,4172,1485,3199,4128,6512,1064
WBGene00000164,665,624,625,355,409,564,552,688,522,528,578,8809,4836,16010,22001,13752,12233,13333,8393,17200,10034,8074
WBGene00000165,1028,1028,994,639,875,1187,1070,1545,1142,1309,2148,0,332,440,215,217,288,135,548,267,420,43
WBGene00000166,90,90,69,52,92,77,62,52,80,52,58,20685,712,8056,14581,9456,7379,7388,5555,11173,9179,2278
WBGene00000168,418,355,237,222,382,655,1023,202,584,737,101,0,137,1,71,60,342,41,151,75,1138,132
WBGene00000169,1947,2390,1138,207,1066,1747,1585,1950,1652,1538,946,0,3074,1932,3370,1624,1262,1142,791,1393,1541,876
WBGene00000170,5589,5353,4522,2969,6723,4218,4501,3458,3813,4366,1849,10154,1074,9092,6718,5170,3670,2956,2231,5551,5112,2495
WBGene00000171,15,14,6,0,7,16,24,7,13,16,4,0,87,0,0,0,82,2,0,0,32,0
WBGene00000172,1346,1246,1313,534,490,1092,1070,1678,1185,1018,1008,6421,11390,682,954,706,2479,141,967,7418,1878,479
WBGene00000173,20,17,11,3,7,16,17,8,15,11,10,0,40,0,112,0,194,0,251,177,273,5
WBGene00000174,24,23,8,10,27,28,26,10,25,26,8,0,6,657,62,114,89,59,0,59,15,1
WBGene00000175,10707,9818,12695,8877,12111,9874,10481,12899,10988,8951,7978,7878,7301,20533,22777,15898,21033,8295,19140,29680,18348,3538
WBGene00000176,2377,2264,2259,1864,1759,2119,1958,3406,1984,1512,1058,1,1305,1603,1387,817,1405,224,218,1579,2524,553
WBGene00000177,225,209,296,118,255,263,191,460,162,141,155,5224,2816,206,659,598,660,333,238,1055,413,260
WBGene00000178,2366,2312,2465,1575,2247,2803,2270,3800,2031,1985,1497,411,1289,337,411,277,778,72,468,1238,637,2056
WBGene00000179,2156,2032,2528,1296,1616,2123,2036,3775,2291,2303,2150,699,907,577,215,155,1109,80,296,1182,860,777
WBGene00000180,1087,985,951,541,873,946,898,969,764,855,720,0,1269,713,1465,782,777,651,1291,905,894,2505
WBGene00000181,6826,6579,8137,4085,5666,5982,6259,10797,7103,8274,11676,17452,6997,3695,3005,2226,3191,1365,1339,3752,3230,3386
WBGene00000182,13985,11799,11065,6933,9848,12241,12686,11030,13965,17143,9837,14511,13256,6094,8866,7410,10360,6646,6073,11087,11607,7292
WBGene00000183,17212,15914,15144,11715,17079,16469,17054,14480,18113,23344,13761,0,7064,4260,2296,2271,5703,1153,1956,5139,5609,3551
WBGene00000184,960,811,716,600,850,835,976,711,960,989,758,1,114,110,165,37,216,30,83,363,316,112
WBGene00000185,5,1,0,2,5,3,1,2,0,2,0,1,4,6,10,3,27,8,1,5,8,3
WBGene00000186,1117,975,873,861,1278,991,1087,699,656,836,525,4317,838,1611,1931,808,1181,130,510,833,3241,727
WBGene00000187,1599,1480,1764,745,1130,1506,1433,2594,1605,1509,1091,1496,2355,1985,678,958,1053,827,675,1109,1611,1137
WBGene00000188,110,106,87,46,130,95,88,81,75,61,36,0,651,4584,12538,10125,5133,2628,7789,5813,4469,2808
WBGene00000189,367,321,362,236,306,345,331,532,370,358,459,0,491,506,154,177,166,20,147,156,542,1364
WBGene00000190,411,423,262,145,91,426,409,284,452,459,246,0,3116,668,1722,1207,1112,579,293,2478,975,520
WBGene00000191,60,61,70,32,58,66,60,39,41,29,63,0,773,1156,2382,2382,509,1332,740,677,871,443
WBGene00000192,1765,1515,1580,908,1425,1715,2082,1607,2115,2275,1236,2,1154,1479,1587,1122,1190,1207,739,1922,2555,1674
WBGene00000193,20,13,10,2,14,23,18,10,24,16,3,0,0,0,0,2,1,5,140,9,0,0
WBGene00000195,667,645,593,378,574,551,561,555,520,583,616,3,491,1655,7026,5095,2290,3451,3290,3270,1767,1287
WBGene00000196,1189,994,1027,593,745,1164,1205,1339,831,799,1054,13151,4683,4255,3457,2642,7184,2089,2760,6815,8010,4142
WBGene00000197,9494,7935,9511,5832,8688,8729,9894,9903,8477,11864,9477,9193,10088,7408,10502,6798,14701,5658,7903,10715,12844,3064
WBGene00000198,9286,8510,10557,5284,6204,9061,9395,13229,9342,11304,6842,540,4703,5424,4278,2960,4664,1464,2073,5600,4921,1058
WBGene00000199,2898,2621,2468,1694,2413,2753,3036,2473,2659,3115,2280,5401,2646,1448,2387,2399,2399,749,1057,2532,2615,1591
WBGene00000200,3029,2713,2617,1396,2134,2865,3195,2791,2721,3255,2281,0,3564,2303,2166,1932,3318,1150,918,3221,4124,1131
WBGene00000201,2620,2555,2355,1686,2270,2680,2840,2505,2492,3180,2486,2,2047,2355,599,942,1795,356,857,2420,2902,343
WBGene00000202,1097,974,1227,396,481,1086,1332,1670,1104,1299,906,0,422,158,226,15,256,121,187,424,304,434
WBGene00000203,1564,1440,1381,831,1107,1328,1505,1828,1496,1847,2561,625,618,648,230,368,586,224,154,721,747,367
WBGene00000204,1540,1362,1449,797,1084,1368,1567,1492,1749,1684,1585,1571,446,320,455,342,557,33,85,549,632,0
WBGene00000205,830,782,690,509,596,805,840,1006,952,1078,1333,0,455,225,165,131,354,130,167,527,537,729
WBGene00000206,5415,4262,6247,2791,2954,6254,7185,8520,6980,8276,11675,0,3989,1281,1359,1492,4861,1466,1939,4861,6092,2050
WBGene00000207,24432,23395,24256,11802,18222,17462,19889,26608,17751,23740,23207,9,11204,8904,6118,5692,15243,2761,3685,14492,7172,7215
WBGene00000208,1342,1107,1222,667,1159,1076,1329,1355,1229,1604,1446,5,1899,1415,1353,1377,2363,1337,1694,1969,2882,546
WBGene00000209,5970,5656,6957,2812,3624,5515,6335,10006,7057,8719,12346,1226,1783,841,353,668,2164,249,402,3075,2316,1577
WBGene00000210,10302,10382,11948,6189,9227,8182,8924,15637,9179,11762,19127,688,3118,3041,1778,2248,2323,841,607,4210,1456,3626
WBGene00000211,296,287,437,229,471,367,297,467,346,322,156,0,446,12,0,26,632,65,128,452,169,48
WBGene00000212,1099,940,355,59,125,774,883,568,878,731,207,0,979,141,201,151,518,62,124,531,446,1
WBGene00000213,132,122,42,17,99,2,9,59,8,10,14,0,3116,732,802,603,79,10,0,91,85,43
WBGene00000214,175243,171080,167111,71875,109317,118745,138003,226589,120342,185477,113852,58661,95550,45672,26358,20767,72974,7137,13426,119368,48744,20204
WBGene00000215,40991,38098,34926,14613,19771,32663,34308,42711,36571,45674,20774,35634,24019,6711,5872,5269,16536,2470,3188,28328,12163,8687
WBGene00000216,102833,99209,99840,35159,44172,73165,81954,136852,83374,113278,78641,158560,526460,90087,110794,70269,134728,16018,39262,268930,131364,32227
WBGene00000217,17417,17618,20709,8701,13980,16898,17355,29778,15624,18456,11927,30610,112104,41911,21098,16971,36314,5570,10079,47076,22161,41247
WBGene00000218,39274,36865,50543,18066,24754,29540,31944,59404,30747,39611,32192,14283,32086,9264,6992,5949,15058,1611,3072,24203,9979,11473
WBGene00000219,118141,115881,115583,44183,61522,74772,82682,136329,79807,112537,64533,24965,58083,16947,12236,9824,23517,2170,2985,38697,13673,9082
WBGene00000220,910,710,680,723,1513,651,588,497,574,673,718,0,893,239,73,234,261,15,199,66,90,0
WBGene00000221,3855,3813,2263,1925,2654,3611,3971,2809,4098,4175,2758,1,12658,7952,3969,3468,5062,3457,2127,5978,4074,6755
WBGene00000222,676,660,385,306,463,627,555,364,384,405,166,1,265,1271,507,156,360,2,121,739,416,0
WBGene00000223,4829,4082,4427,2716,4018,4891,5465,3901,4196,4357,2754,11258,3522,4126,5110,4351,5998,3737,3772,7235,10154,2938
WBGene00000224,2897,2800,3044,1490,2914,2616,2461,2618,2172,2590,1522,644,1853,1977,2620,2500,2621,783,1312,2733,2686,2421
WBGene00000225,2446,2211,1428,1095,1549,2415,2341,1313,1921,1607,588,3161,1118,2186,1592,2014,1774,341,829,1832,1691,6
WBGene00000226,1888,1687,1742,933,1306,2662,2546,1957,1238,1207,1063,46,1787,6440,8771,5414,7345,5138,3218,6036,8657,2292
WBGene00000227,1263,1161,890,693,955,1349,1421,1138,845,863,568,0,1355,1356,748,706,2263,96,1149,1996,3237,1124
WBGene00000228,12248,11176,19701,7518,17426,11651,12152,17550,9130,10582,9439,14367,8393,2383,1887,1243,9870,841,2423,5998,5646,10335
WBGene00000229,107972,97784,114874,62497,91826,91429,104192,136060,93037,127688,124139,48984,75912,34414,26203,21698,82125,9457,22274,82351,69338,35306
WBGene00000230,30142,28071,29986,15591,22356,24667,27545,33848,28407,34142,37029,14530,18534,13548,9275,7965,17958,4236,5484,15289,13432,8693
WBGene00000231,6211,4884,4403,4790,6563,5717,6529,4960,4053,5475,2977,2410,5594,3560,3531,2312,6924,1090,2400,6785,12224,1998
WBGene00000232,247,242,222,114,197,300,234,177,199,191,92,363,79,1071,2544,1210,1203,1630,601,1659,993,1281
WBGene00000233,672,694,350,173,286,611,650,416,516,348,149,13195,860,4797,4534,1928,3407,2493,1760,2873,1904,2112
WBGene00000235,2963,2622,3138,1309,1603,3197,3029,4585,3552,3463,4768,5975,1675,2282,3678,2706,2678,1943,2942,3021,2972,2659
WBGene00000236,1110,928,1295,744,864,985,1190,1773,1268,1292,2358,0,751,251,234,480,410,198,206,692,764,624
WBGene00000237,1528,1484,824,680,1195,1255,1206,667,857,1007,341,2,1257,1696,1664,1893,1724,927,922,2820,1696,397
WBGene00000238,749,690,635,576,764,701,623,506,485,407,364,7,654,880,78,0,774,142,38,986,741,317
WBGene00000239,1170,978,1429,781,838,1120,1118,2106,1127,1396,1358,0,479,348,76,333,957,11,194,962,276,0
WBGene00000240,2763,2692,2066,3756,3644,2783,2641,2596,2700,2458,2350,19241,10431,21984,5400,3487,6941,1955,778,6942,10163,22495
WBGene00000241,47,29,16,5,14,47,37,8,15,33,11,0,29,792,85,117,1168,39,24,1306,194,16
WBGene00000242,20,37,9,6,10,25,18,13,18,18,1,0,66,769,449,70,487,588,46,1136,244,0
WBGene00000244,62,59,44,12,35,47,59,36,54,36,24,0,192,317,616,225,1808,20,558,2275,856,0
WBGene00000245,1418,1221,1623,1483,2054,1114,1160,1942,1312,1143,1993,0,1939,548,235,433,1001,241,408,1145,685,490
WBGene00000246,568,519,268,385,409,661,395,566,437,240,310,0,614,448,9,6,135,76,189,224,240,30
WBGene00000247,823,762,1129,622,1048,837,860,1200,659,692,846,1,2099,2518,2067,1455,1099,758,365,1416,1970,93
WBGene00000248,1689,1493,1720,1045,2014,1738,1972,1275,1678,2089,1193,26474,974,7387,9054,7574,7843,6448,7886,7694,12310,3692
WBGene00000249,611,554,524,320,355,753,733,652,755,645,789,0,674,945,986,1014,726,1217,427,734,999,824
