,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,6,100
WBGene00077499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,2,0,0,0
WBGene00077500,311,283,303,241,239,443,458,455,299,295,300,0,431,350,607,260,539,608,522,892,811,670
WBGene00077501,2,1,5,1,4,4,2,6,0,6,5,0,0,0,0,0,2,0,0,0,2,0
WBGene00077502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WBGene00077503,14,14,23,15,17,41,33,38,34,20,8,0,39,0,30,12,16,0,43,0,50,11
WBGene00077504,15,13,22,3,9,15,9,5,3,4,21,0,86,0,34,0,7,0,1,9,27,186
WBGene00077506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0
WBGene00077508,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00077514,0,0,2,0,0,1,0,1,5,0,2,0,48,0,8,0,97,27,39,6,39,3
WBGene00077515,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077519,193,187,170,116,97,275,367,179,292,235,252,0,910,198,116,49,245,190,935,76,970,0
WBGene00077520,49,31,26,5,14,34,27,33,28,22,35,1933,2,20,88,26,45,58,156,134,65,37
WBGene00077521,86,88,114,49,94,52,49,178,43,20,156,0,221,601,422,321,444,391,427,410,538,196
WBGene00077522,17,11,25,4,12,19,11,15,22,3,12,0,0,773,165,66,3130,440,2310,2836,575,0
WBGene00077523,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,27,29,0
